,meta,meta,delta,delta,6perc,6perc,4perc,4perc,2perc,2perc,0perc,0perc
,sid,Metabolites,min,max,sd,avg,sd,avg,sd,avg,sd,avg
11,s_0991,L-glutamic acid,0.25350206451717683,0.3184705727436251,0.039107329888679,0.918060349744835,0.037445794019429,0.819485929703406,0.023721349694362,0.485839214316124,0.032945450049813,0.199852895685723
12,s_0999,L-glutamine,0.030483160784805903,0.04267985653705011,0.006232042609466,0.212929579696215,0.009253035397629,0.142719803594436,0.003888567853801,0.075154745047198,0.00655469096481,0.03857323638627
13,s_0973,L-aspartic acid,0.016510642771198878,0.03444598616382913,0.007655115793382,0.10335980947469,0.004764378802204,0.08168884215145,0.00929209782396,0.059257669827372,0.006265738829978,0.033779355359858
14,s_0969,L-asparagine,0.003939726859795279,0.005754976859934719,0.00269761413708,0.028660541558727,0.001417222162729,0.019459984862187,0.000802258773775,0.009054864760647,0.000801876501432,0.004207512900782
15,s_1006,L-histidine,0.0007011774611853545,0.009662921019050651,0.002777154680186,0.127893597697692,0.006135350735064,0.06850019522064,0.00488985674952,0.050629821533593,0.002729183165983,0.045447772293475
16,s_1051,L-tyrosine,-0.0005499136782240855,0.00032814698232408554,0.000460157774081,0.004232067250578,0.000249681720044,0.002726054482574,0.000521260710493,0.001774390375083,0.000171260066869,0.001885273723033
17,s_1032,L-phenylalanine,0.00029660699271546765,0.0010839738630565319,0.000317012482073,0.005102336045194,0.00039179388879,0.004391625470561,0.000277082926254,0.003191321068142,0.000406559746379,0.002501030640256
18,s_1035,L-proline,0.00020222884634836042,0.0007772904734216399,0.000969568843485,0.004958142043395,0.000281779803268,0.003798300698041,0.000333703436621,0.002574618543877,0.000133290250025,0.002084858883992
19,s_1458,Succinic acid,0.017191335235485463,0.024941236188124532,0.008773669949116,0.079734800841716,0.003835272650579,0.060578152833114,0.003381349415874,0.037544626020626,0.003466701460622,0.016478340308821
20,s_0066,Malic acid,0.017420760109367175,0.02849584381953682,0.013852087705946,0.093402077373235,0.004528645237389,0.068419599204889,0.005871751364392,0.040508049829945,0.003662739173712,0.017549747865493
21,s_0522,Citric acid,0.009975399417021276,0.01552008402749472,0.005572881848511,0.044433405450382,0.002639391157185,0.029455823367699,0.002930551983401,0.02507061886977,0.001848256943584,0.012322877147512
22,s_0725,Fumaric acid,0.000650493554911318,0.001420731131334682,0.000292691990541,0.00365480329771,0.000592050155232,0.003478693921189,9.85113758817915e-05,0.002871543328928,0.000471108788333,0.001835930985805
23,s_0750,Red_Glutathione,-0.002014699376639255,0.0021327293622792572,0.002367605124516,0.01738535692771,0.00258916734227,0.015063850617915,0.001918637159591,0.013759246051601,0.001742193468478,0.013700231058781
24,s_0754,Oxid_Glutathione,-0.0018917645239973232,2.4818600707322987e-05,0.001440459304271,0.004713126278618,0.001423228096808,0.005239084111755,0.000868402418611,0.005300380774491,0.000824717448356,0.006233853736136
25,s_1520,Trehalose,-0.0008200886668864368,0.026647734450090436,0.064250064357316,0.746695397775332,0.02395974378538,0.111557556155384,0.017056123018845,0.019304922644292,0.001919682130586,0.00639109975269
26,s_0563,D-Glucose,-0.01586597526915153,-0.007476608903854469,0.009534126326291,0.017801991038034,0.008957743668615,0.020357420968205,0.002255906304073,0.015764533838268,0.004732039427468,0.027435825924771
27,s_1270,Orotidine,0.00026207497959978643,0.001641343104618213,0.000720039727718,0.004288191298538,0.001127408957648,0.005558376753039,0.000495986724288,0.003735478265491,0.000704844005832,0.002783769223382
28,s_0765,Glycerol,0.07884795924664445,0.12872328009415954,0.016203667633998,0.08602276024615,0.030337536158024,0.168385544977154,0.022973452868979,0.174289178028164,0.021059773276192,0.070503558357762
29,s_1203,NADH,0.0014866149143016637,0.002950367395154337,0.000761968222342,0.005616618761361,0.002001838607394,0.004022489143867,0.000782883569059,0.004093326385857,0.000472955241693,0.001874835231129
30,s_1198,NAD,-0.00299624172242398,-0.0010325189571080192,0.000716902314542,0.018321357844362,0.001471103368126,0.022226846804138,0.000742332647332,0.022152306332538,0.000977059753696,0.024166686672304
31,s_1207,NADP(+),-0.000986505543350157,-0.0005182188082818425,0.00011679120938,0.001850084292726,0.000260850443483,0.002308659232754,0.000216950780446,0.002311156246424,0.000196361404613,0.00306351842224
32,s_0434,ATP,-0.00014554253085672384,0.004753599245778723,0.001837824884452,0.007650370425241,0.002283852037614,0.009920290316341,0.002970683793863,0.01128524302576,0.000739428202395,0.008981214668299
33,s_0394,ADP,0.00011721553758318732,0.0033377309546948125,0.001753640276173,0.011812413218073,0.001411949083165,0.011711600086774,0.001897006044366,0.011037574897154,0.000671664808718,0.009310101651015
34,s_0423,AMP,4.532455107376758e-05,0.002461510089564233,0.000863995603372,0.001493137354496,0.000632994850227,0.001495609429004,0.001148098122534,0.003185539660267,0.000980495347535,0.001932122339948
35,s_1489,Thiamine(1+),0.0032648359171265962,0.007555463541641402,0.002624847140348,0.010111069188771,0.001618021236709,0.01255051284115,0.002401438005778,0.014195748347312,0.001192185243996,0.008785598617928
36,s_1543,UDP-Glucose,-0.0005940336199761104,-7.503536474188957e-05,0.000298197293749,0.00208238811358,0.000211080154141,0.001762372218973,0.000246560504512,0.001558777376244,0.000210671611848,0.001893311868603
